FECHA;CODIGO;PRODUCTO;PRESENTACION;CANTIDAD;UNIDAD;RESPONSABLE 
29/12/2023;SOL_CHUCHO;CHUPETE CHOCOLATE;100ML;253;MILILITROS;ELI SILVA
28/12/2023;PURO_100;PASTA 100%;0.5KG;16;KILOS;ELI SILVA
28/12/2023;PURO_100;PASTA 100%;0.25KG;25;KILOS;ELI SILVA
28/12/2023;PURO_100;PASTA 100%;0.15KG;1;KILOS;ELI SILVA
27/12/2023;PURO_100;PASTA 100%;0.5KG;21;KILOS;ELI SILVA
27/12/2023;PURO_100;PASTA 100%;0.25KG;87;KILOS;ELI SILVA
27/12/2023;PURO_100;PASTA 100%;1KG;20;KILOS;ELI SILVA
20/12/2023;SOL_CHUCHO;CHUPETE CHOCOLATE;100ML;229;MILILITROS;ELI SILVA
20/12/2023;PURO_100;PASTA 100%;0.5KG;7;KILOS;JACKELIN,GELEN
20/12/2023;PURO_100;PASTA 100%;0.25KG;1;KILOS;JACKELIN,GELEN
20/12/2023;PURO_100;PASTA 100%;1KG;19;KILOS;JACKELIN,GELEN
19/12/2023;PURO_100;PASTA 100%;1KG;13;KILOS;JACKELIN,MARIELA
19/12/2023;PURO_100;PASTA 100%;0.5KG;55;KILOS;JACKELIN,MARIELA
19/12/2023;PURO_100;PASTA 100%;0.25KG;34;KILOS;JACKELIN,MARIELA
18/12/2023;OSC_BIT80;BITTER 80%;90G;118;GRAMOS;JACKELIN,MARIELA
18/12/2023;SAB_BLANC;CHOCOLATE BLANCO;20G;182;GRAMOS;JACKELIN,MARIELA
18/12/2023;PURO_100;PASTA 100%;1KG;10;KILOS;JACKELIN,MARIELA
18/12/2023;PURO_100;PASTA 100%;0.5KG;15;KILOS;JACKELIN,MARIELA
18/12/2023;PURO_100;PASTA 100%;0.25KG;11;KILOS;JACKELIN,MARIELA
16/12/2023;SAB_COCO;COCO;90G;35;GRAMOS;JACKELIN,MARIELA
16/12/2023;SAB_COCO;COCO;25G;135;GRAMOS;JACKELIN,MARIELA
16/12/2023;OSC_BIT60;BITTER 60%;1KG;5;KILOS;JACKELIN,MARIELA
16/12/2023;PURO_100;PASTA 100%;90G;11;GRAMOS;JACKELIN,MARIELA
16/12/2023;PURO_100;PASTA 100%;1KG;11;KILOS;JACKELIN,MARIELA
16/12/2023;PURO_100;PASTA 100%;0.5KG;1;KILOS;JACKELIN,MARIELA
16/12/2023;PURO_100;PASTA 100%;0.25KG;23;KILOS;JACKELIN,MARIELA
15/12/2023;SOL_CHUCHO;CHUPETE CHOCOLATE;100ML;229;MILILITROS;JACKELIN, DENIS, GELEN
15/12/2023;PURO_100;PASTA 100%;90G;146;GRAMOS;JACKELIN, DENIS, GELEN
15/12/2023;PURO_100;PASTA 100%;1KG;18;KILOS;JACKELIN, DENIS, GELEN
15/12/2023;PURO_100;PASTA 100%;0.5KG;35;KILOS;JACKELIN, DENIS, GELEN
15/12/2023;PURO_100;PASTA 100%;0.25KG;41;KILOS;JACKELIN, DENIS, GELEN
14/12/2023;SAB_AGUA;AGUAYMANTO;90G;130;GRAMOS;JACKELIN, MARIELA
14/12/2023;PURO_100;PASTA 100%;90G;185;GRAMOS;JACKELIN, DENIS, GELEN
14/12/2023;PURO_100;PASTA 100%;1KG;7;KILOS;JACKELIN, DENIS, GELEN
14/12/2023;PURO_100;PASTA 100%;0.5KG;9;KILOS;JACKELIN, DENIS, GELEN
14/12/2023;PURO_100;PASTA 100%;0.25KG;30;KILOS;JACKELIN, DENIS, GELEN
14/12/2023;PURO_100;PASTA 100%;0.20KG;14;KILOS;JACKELIN, DENIS, GELEN
13/12/2023;SAB_COCO;COCO;90G;45;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;SAB_COCO;COCO;20G;112;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;SUB_CAFE;NIBS DE CAFÉ;90G;5;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;SUB_CAFE;NIBS DE CAFÉ;20G;109;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;OSC_BIT60;BITTER 60%;1KG;2;KILOS;JACKELIN, MARIELA, GELEN
13/12/2023;SAB_NARAN;NARANJA;20G;190;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;SAB_PIÑA;PIÑA;20G;150;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;SAB_SALAM;SAL AMAZONICO;90G;88;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;PURO_100;PASTA 100%;90G;47;GRAMOS;JACKELIN, MARIELA, GELEN
13/12/2023;PURO_100;PASTA 100%;1KG;8;KILOS;JACKELIN, MARIELA, GELEN
13/12/2023;PURO_100;PASTA 100%;0.5KG;30;KILOS;JACKELIN, MARIELA, GELEN
13/12/2023;PURO_100;PASTA 100%;0.25KG;55;KILOS;JACKELIN, MARIELA, GELEN
13/12/2023;PURO_100;PASTA 100%;0.15KG;16;KILOS;JACKELIN, MARIELA, GELEN
12/12/2023;SAB_SALAM;SAL AMAZONICO;90G;42;GRAMOS;JACKELIN, MARIELA
12/12/2023;SAB_AGUA;AGUAYMANTO;90G;64;GRAMOS;JACKELIN, MARIELA
12/12/2023;SAB_AGUA;AGUAYMANTO;50G;1;GRAMOS;JACKELIN, MARIELA
12/12/2023;SAB_AGUA;AGUAYMANTO;20G;20;GRAMOS;JACKELIN, MARIELA
12/12/2023;SAB_AGUA;AGUAYMANTO;16G;16;GRAMOS;JACKELIN, MARIELA
12/12/2023;PURO_100;PASTA 100%;1KG;14;KILOS;JACKELIN, MARIELA
12/12/2023;PURO_100;PASTA 100%;0.15KG;184;KILOS;JACKELIN, MARIELA
12/12/2023;DER_POLVO;POLVO;0.25KG;390;KILOS;JACKELIN, MARIELA
11/12/2023;SAB_COCO;COCO;90G;52;GRAMOS;JACKELIN, MARIELA
11/12/2023;SAB_COCO;COCO;25G;27;GRAMOS;JACKELIN, MARIELA
11/12/2023;SAB_AGUA;AGUAYMANTO;90G;55;GRAMOS;JACKELIN, MARIELA
11/12/2023;SAB_AGUA;AGUAYMANTO;20G;16;GRAMOS;JACKELIN, MARIELA
11/12/2023;PURO_100;PASTA 100%;90G;42;GRAMOS;JACKELIN, MARIELA
11/12/2023;PURO_100;PASTA 100%;1KG;18;KILOS;JACKELIN, MARIELA
11/12/2023;PURO_100;PASTA 100%;0.5KG;34;KILOS;JACKELIN, MARIELA
11/12/2023;PURO_100;PASTA 100%;0.25KG;34;KILOS;JACKELIN, MARIELA
11/12/2023;PURO_100;PASTA 100%;0.20KG;2;KILOS;JACKELIN, MARIELA
10/12/2023;PURO_100;PASTA 100%;90G;256;GRAMOS;JACKELIN, MARIELA
9/12/2023;SAB_BLANC;CHOCOLATE BLANCO;25G;9;GRAMOS;JACKELIN, MARIELA
9/12/2023;SAB_BLANC;CHOCOLATE BLANCO;20G;164;GRAMOS;JACKELIN, MARIELA
8/12/2023;PURO_100;PASTA 100%;90G;471;GRAMOS;JACKELIN, MARIELA, ELI SILVA
7/12/2023;SOL_CHUCHO;CHUPETE CHOCOLATE;100ML;245;MILILITROS;JACKELIN, MARIELA, ELI SILVA
6/12/2023;PURO_100;PASTA 100%;90G ;460;GRAMOS;JACKELIN, ELI
5/12/2023;SAB_LECHE;LECHE;90G;126;GRAMOS;JACKELIN, ELI
5/12/2023;SAB_LECHE;LECHE;50G;6;GRAMOS;JACKELIN, ELI
5/12/2023;SAB_LECHE;LECHE;25G;36;GRAMOS;JACKELIN, ELI
5/12/2023;SAB_LECHE;LECHE;20G;25;GRAMOS;JACKELIN, ELI
5/12/2023;PURO_100;PASTA 100%;90G;236;GRAMOS;JACKELIN, ELI
4/12/2023;SAB_LECHE;LECHE;90G;59;GRAMOS;JACKELIN, MARIELA
4/12/2023;SAB_LECHE;LECHE;50G;8;GRAMOS;JACKELIN, MARIELA
4/12/2023;SAB_LECHE;LECHE;25G;9;GRAMOS;JACKELIN, MARIELA
4/12/2023;OSC_BIT60;BITTER 60%;90G;44;GRAMOS;JACKELIN, MARIELA
4/12/2023;PURO_100;PASTA 100%;90G;50;GRAMOS;JACKELIN, MARIELA
4/12/2023;PURO_100;PASTA 100%;0.25KG;114;KILOS;JACKELIN, MARIELA
4/12/2023;PURO_100;PASTA 100%;0.2KG;4;KILOS;JACKELIN, MARIELA
4/12/2023;DER_MANT;MANTECA;150G;60;UNIDADES;JACKELIN, MARIELA
2/12/2023;PURO_100;PASTA 100%;1KG;4;KILOS;JACKELIN, MARIELA
2/12/2023;PURO_100;PASTA 100%;0.25KG;106;KILOS;JACKELIN, MARIELA
1/12/2023;SAB_LECHE;LECHE;90G;56;GRAMOS;JACKELIN, ELI SILVA
1/12/2023;SAB_LECHE;LECHE;50G;76;GRAMOS;JACKELIN, ELI SILVA
1/12/2023;SAB_LECHE;LECHE;20G;80;GRAMOS;JACKELIN, ELI SILVA
1/12/2023;SAB_CAFELE;CAFÉ CON LECHE;90G;107;GRAMOS;JACKELIN, ELI SILVA
